method,run,level,t_init,t_conv,conv_time_s,linear_error_m,angular_error_rad,task_success
Baseline-AMCL,1,L0,1076.291,1077.292,1.001,0.00,0.00,
Baseline-AMCL,1,L1,1153.097,1154.097,1.000,0.00,0.00,
Baseline-AMCL,1,,,,,,"Robot arrived at Goal",
Baseline-AMCL,2,L0,1076.320,1077.320,1.000,0.00,0.00,
Baseline-AMCL,2,L1,1152.721,1153.721,1.000,0.00,0.00,
Baseline-AMCL,2,,,,,,"timeout 120s",
SP-AMCL-region,1,L0,1076.092,1077.092,1.000,0.09,0.03,
SP-AMCL-region,1,L1,1136.295,1137.295,1.000,0.08,0.01,
SP-AMCL-region,1,,,,,,"timeout 90s",
SP-AMCL-region,2,L0,1076.392,1077.392,1.000,0.09,0.03,
SP-AMCL-region,2,L1,1156.996,1157.996,1.000,0.07,0.01,
SP-AMCL-region,2,,,,,,"Robot arrived at Goal",
SP-AMCL-region,3,L0,1076.221,1077.222,1.001,0.10,0.03,
SP-AMCL-region,3,L1,1154.425,1155.426,1.001,0.02,0.00,
SP-AMCL-region,3,,,,,,"timeout 120s",
