elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0050,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0,0
1.4050,0.0001,0.0119,0.0001,0.0119,0.0000,1.0000,0,0
1.8040,0.0001,0.0160,0.0001,0.0160,0.0000,1.0000,0,0
2.0040,0.0001,0.0183,0.0001,0.0183,0.0000,1.0000,0,0
2.4030,0.0002,0.0221,0.0002,0.0221,0.0000,1.0000,0,0
2.6070,0.0002,0.0239,0.0002,0.0239,0.0000,1.0000,0,0
3.0040,0.0002,0.0280,0.0002,0.0280,0.0000,1.0000,0,0
3.2060,0.0002,0.0298,0.0002,0.0298,0.0000,1.0000,0,0
3.6040,0.0002,0.0341,0.0002,0.0341,0.0000,1.0000,0,0
4.0050,0.0003,0.0385,0.0003,0.0385,0.0000,1.0000,0,0
4.4040,0.0003,0.0430,0.0003,0.0430,0.0000,1.0000,0,0
4.6050,0.0003,0.0450,0.0003,0.0450,0.0000,1.0000,0,0
4.8050,0.0003,0.0470,0.0003,0.0470,0.0000,1.0000,0,0
5.2040,0.0004,0.0512,0.0004,0.0512,0.0000,1.0000,0,0
5.4050,0.0004,0.0535,0.0004,0.0535,0.0000,1.0000,0,0
5.8030,0.0004,0.0568,0.0004,0.0568,0.0000,1.0000,0,0
6.0040,0.0004,0.0593,0.0004,0.0593,0.0000,1.0000,0,0
